topic_id,lesson_title,hero_name,power,theme_color_hex,suggested_filename,image_prompt
stranger-safety,Someone I Don’t Know,Captain Caution,Stranger Sense,#1f9d6b,hero-stranger-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Captain Caution"", the superhero for the ""Someone I Don’t Know"" safety lesson (power: ""Stranger Sense"" -- Knows when to keep a safe distance.). Primary costume color: friendly grass green (#1f9d6b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a simple rounded shield shape, in white or a light contrasting color, centered on the chest. Pose: standing in a calm protective stance, arms slightly out as if guarding a space."
street-safety,Crossing the Street Safely,Crosswalk Guardian,Look-Both-Ways Vision,#1f9d6b,hero-street-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Crosswalk Guardian"", the superhero for the ""Crossing the Street Safely"" safety lesson (power: ""Look-Both-Ways Vision"" -- Never crosses without checking twice.). Primary costume color: friendly grass green (#1f9d6b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a five-pointed star, in white or a light contrasting color, centered on the chest. Pose: standing in a friendly, confident superhero pose, hands on hips."
lost-safety,If I Get Separated,Wayfinder,Steady Ground,#1f9d6b,hero-lost-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Wayfinder"", the superhero for the ""If I Get Separated"" safety lesson (power: ""Steady Ground"" -- Stays put and finds a helper when lost.). Primary costume color: friendly grass green (#1f9d6b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a compass-rose (star-shaped needle inside a circle), in white or a light contrasting color, centered on the chest. Pose: standing tall, looking off to one side attentively as if watching for something."
emergency-safety,Calling for Help in an Emergency,Rescue Ray,Emergency Signal,#c0392b,hero-emergency-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Rescue Ray"", the superhero for the ""Calling for Help in an Emergency"" safety lesson (power: ""Emergency Signal"" -- Calls for help fast when it matters most.). Primary costume color: warm alert red (#c0392b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a lightning bolt, in white or a light contrasting color, centered on the chest. Pose: standing in an alert, ready-to-help stance, one fist gently raised."
fire-safety,Fire Safety,Blaze Guard,Flame Shield,#c0392b,hero-fire-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Blaze Guard"", the superhero for the ""Fire Safety"" safety lesson (power: ""Flame Shield"" -- Drops, covers, and gets to safety.). Primary costume color: warm alert red (#c0392b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a single rounded flame, in white or a light contrasting color, centered on the chest. Pose: standing in an alert, ready-to-help stance, one fist gently raised."
earthquake-safety,Earthquake Safety,Tremor Titan,Steady Stance,#c0392b,hero-earthquake-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Tremor Titan"", the superhero for the ""Earthquake Safety"" safety lesson (power: ""Steady Stance"" -- Drops, covers, and holds on tight.). Primary costume color: warm alert red (#c0392b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a simple triple-peaked mountain, in white or a light contrasting color, centered on the chest. Pose: standing in an alert, ready-to-help stance, one fist gently raised."
rainyweather-safety,Staying Safe in Bad Weather,Storm Sentinel,Weather Watch,#c0392b,hero-rainyweather-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Storm Sentinel"", the superhero for the ""Staying Safe in Bad Weather"" safety lesson (power: ""Weather Watch"" -- Always knows when to head indoors.). Primary costume color: warm alert red (#c0392b), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a small cloud with a lightning bolt underneath, in white or a light contrasting color, centered on the chest. Pose: standing in an alert, ready-to-help stance, one fist gently raised."
selfadvocacy-safety,Speaking Up for Myself,Voice Vanguard,Bold Voice,#c9770a,hero-selfadvocacy-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Voice Vanguard"", the superhero for the ""Speaking Up for Myself"" safety lesson (power: ""Bold Voice"" -- Speaks up clearly for what she needs.). Primary costume color: warm golden amber (#c9770a), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a rounded speech-bubble, in white or a light contrasting color, centered on the chest. Pose: standing confidently with one hand raised near their mouth as if speaking up clearly."
body-boundaries-safety,My Body Belongs to Me,Boundary Champion,Personal Shield,#6a4fd1,hero-body-boundaries-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Boundary Champion"", the superhero for the ""My Body Belongs to Me"" safety lesson (power: ""Personal Shield"" -- Protects her own space with confidence.). Primary costume color: calm violet-purple (#6a4fd1), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a heart nested inside a shield outline, in white or a light contrasting color, centered on the chest. Pose: standing in a calm protective stance, arms slightly out as if guarding a space."
secrets-safety,Safe and Unsafe Secrets,Truth Teller,Secret Sense,#6a4fd1,hero-secrets-safety.png,"Flat, clean vector-illustration style children's superhero mascot character (think modern kids'-educational-app mascot, NOT photorealistic, NOT a comic-book/manga style, NOT scary or intense). Simple bold shapes, thick clean outlines (2-3px even weight), soft rounded corners, minimal fine detail so it stays clear as a small icon. Big simple friendly eyes, warm gentle smile, no aggressive or intense facial expressions. A simple cape and a form-fitting superhero costume/bodysuit (no exposed muscles, no weapons, nothing frightening). Character is a friendly, ambiguous-age kid-appropriate superhero (not obviously adult or child, not gendered-specific unless noted). Plain solid-color or transparent background, no scenery, no text, no logos, no watermarks. Square 1:1 composition, character centered and fully visible with a little padding around the edges. Bright, clean, cheerful lighting -- no harsh shadows. This character is ""Truth Teller"", the superhero for the ""Safe and Unsafe Secrets"" safety lesson (power: ""Secret Sense"" -- Knows a safe secret from a warning sign.). Primary costume color: calm violet-purple (#6a4fd1), used for the cape/bodysuit main color, with a white or cream secondary accent color for gloves/boots/trim. Chest emblem: a simple padlock, in white or a light contrasting color, centered on the chest. Pose: standing in a calm protective stance, arms slightly out as if guarding a space."
